country_code,code,sum
AT,AT124_31302,67105
AT,AT225_61019,81271
AT,AT222_61222,1118401
AT,AT112_10613,55493
AT,AT126_31230,2258524
AT,AT342_80415,2153
AT,AT332_70333,496515
AT,AT121_31502,61453
AT,AT211_20725,789731
AT,AT333_70729,1794432
AT,AT313_40616,64221
AT,AT127_30704,640496
AT,AT127_31723,579753
AT,AT323_50327,696943
AT,AT225_61026,111521
AT,AT332_70343,58593
AT,AT311_41425,82304
AT,AT335_70411,1800805
AT,AT122_31838,38677
AT,AT225_61610,70984
AT,AT224_60439,12088
AT,AT322_50605,65566
AT,AT222_61215,112669
AT,AT124_31124,101749
AT,AT121_32014,175518
AT,AT125_31633,2906028
AT,AT123_31906,140647
AT,AT322_50415,89099
AT,AT311_40832,598217
AT,AT122_31849,51489
AT,AT121_30504,248958
AT,AT335_70520,396079
AT,AT122_31815,3360887
AT,AT221_60645,205826
AT,AT112_10703,135702
AT,AT222_61203,161333
AT,AT221_60608,1498614
AT,AT311_40407,89375
AT,AT111_10819,48209
AT,AT224_61702,243220
AT,AT332_70304,401630
AT,AT332_70310,410479
AT,AT224_60736,108394
AT,AT113_10931,13713
AT,AT315_40707,99998
AT,AT125_31026,177352
AT,AT334_70212,152920
AT,AT332_70345,93066
AT,AT225_61613,133847
AT,AT127_32413,106952
AT,AT335_70525,322810
AT,AT113_10506,50510
AT,AT125_31630,131554
AT,AT121_30530,330609
AT,AT225_61615,370422
AT,AT225_61047,364414
AT,AT221_60641,70919
AT,AT122_31827,18407
AT,AT112_10302,73465
AT,AT323_50204,505160
AT,AT123_31905,253828
AT,AT342_80409,67057
AT,AT225_60302,9524375
AT,AT224_60416,259758
AT,AT315_40706,86081
AT,AT124_30909,118317
AT,AT342_80413,143647
AT,AT126_30859,46593
AT,AT312_41618,222362
AT,AT334_70619,358350
AT,AT224_61741,656236
AT,AT224_61713,7254969
AT,AT223_60212,86615
AT,AT121_32018,901507
AT,AT342_80219,104984
AT,AT113_10416,39948
AT,AT312_41804,507124
AT,AT311_40446,254000
AT,AT331_70834,17714
AT,AT124_31308,209003
AT,AT126_31226,246473
AT,AT113_10925,44182
AT,AT112_10601,49914
AT,AT335_70917,727236
AT,AT222_61228,90007
AT,AT313_41115,84887
AT,AT127_30721,85339
AT,AT123_31922,110551
AT,AT121_30520,158449
AT,AT332_70349,62066
AT,AT123_31921,143825
AT,AT224_61510,1837784
AT,AT126_30822,18793
AT,AT312_40502,72725
AT,AT226_61427,137302
AT,AT224_61504,53410
AT,AT126_30831,159941
AT,AT225_61046,113240
AT,AT224_60509,308459
AT,AT224_61516,149121
AT,AT331_70801,52739
AT,AT125_31025,34008
AT,AT111_10826,30118
AT,AT225_61029,47014
AT,AT124_31102,50239
AT,AT124_31106,934136
AT,AT313_41118,204191
AT,AT224_61731,92532
AT,AT323_50329,121227
AT,AT124_32222,33836
AT,AT224_60445,58334
AT,AT125_31019,82889
AT,AT121_30532,219066
AT,AT323_50337,551931
AT,AT121_31513,394077
AT,AT111_10808,47018
AT,AT121_30507,121466
AT,AT113_10504,2111518
AT,AT223_61303,78776
AT,AT113_10902,96335
AT,AT333_70713,34621
AT,AT224_60735,72738
AT,AT224_60701,43382
AT,AT212_20635,4110179
AT,AT126_31605,239382
AT,AT311_40403,21439
AT,AT121_30531,2746541
AT,AT224_61735,36006
AT,AT335_70522,377547
AT,AT315_41706,44838
AT,AT211_20726,179093
AT,AT121_31531,58193
AT,AT311_41207,78538
AT,AT213_20805,16612461
AT,AT312_40501,271993
AT,AT221_60642,148653
AT,AT311_41415,19760
AT,AT127_30616,83851
AT,AT224_60441,65261
AT,AT224_60712,1046599
AT,AT213_20508,71917
AT,AT311_41407,66779
AT,AT126_32110,175491
AT,AT212_20619,123598
AT,AT314_41511,227508
AT,AT112_10313,119797
AT,AT224_60714,29255
AT,AT226_61413,57674
AT,AT335_70921,114658
AT,AT335_70518,180695
AT,AT332_70344,79702
AT,AT315_41716,157260
AT,AT313_41310,45039
AT,AT224_61732,50020
AT,AT123_31913,2687190
AT,AT322_50610,116235
AT,AT112_10612,99146
AT,AT332_70307,69751
AT,AT226_61418,72913
AT,AT112_10320,1431
AT,AT312_41818,50483
AT,AT213_20807,83096
AT,AT342_80422,26842
AT,AT122_31826,208080
AT,AT223_60211,1525534
AT,AT335_70941,40118
AT,AT313_41620,73057
AT,AT311_41230,800127
AT,AT127_30706,166400
AT,AT311_41225,5426925
AT,AT225_60320,81531
AT,AT335_70402,177947
AT,AT124_32523,54367
AT,AT226_60911,105872
AT,AT224_61749,36649
AT,AT341_80117,576756
AT,AT314_41510,73512
AT,AT314_40201,16833312
AT,AT124_32528,65487
AT,AT335_70505,203755
AT,AT121_31549,404699
AT,AT126_30802,5897
AT,AT321_50511,53419
AT,AT333_70702,98939
AT,AT315_41705,73301
AT,AT123_31909,169943
AT,AT313_41308,155156
AT,AT313_41110,152312
AT,AT311_40424,35188
AT,AT223_61101,460181
AT,AT121_31511,105206
AT,AT313_41124,826550
AT,AT313_41113,91272
AT,AT311_40428,146753
AT,AT332_70311,48519
AT,AT321_50506,67942
AT,AT112_10319,85204
AT,AT313_41112,76587
AT,AT312_40506,717519
AT,AT332_70325,156496
AT,AT224_60436,47065
AT,AT323_50336,169137
AT,AT122_31813,113594
AT,AT321_50507,39340
AT,AT212_20625,79302
AT,AT225_60325,112069
AT,AT312_41013,469601
AT,AT126_30858,87169
AT,AT126_30852,147138
AT,AT224_60512,199551
AT,AT342_80424,218057
AT,AT311_40810,31091
AT,AT122_32310,63342
AT,AT121_30301,3338131
AT,AT111_10828,32963
AT,AT224_60737,82716
AT,AT213_20909,195980
AT,AT213_20509,130011
AT,AT113_10405,168735
AT,AT332_70319,248181
AT,AT311_40805,134004
AT,AT311_41205,33085
AT,AT225_61009,254681
AT,AT334_70217,131067
AT,AT224_60410,677948
AT,AT113_10915,36967
AT,AT341_80113,1141412
AT,AT312_41803,123936
AT,AT224_60728,402612
AT,AT213_20505,850156
AT,AT312_41007,1284472
AT,AT224_61743,61034
AT,AT125_31620,47805
AT,AT321_50509,536594
AT,AT225_61623,66290
AT,AT335_70509,212303
AT,AT331_70818,18301
AT,AT124_31336,532161
AT,AT311_41203,464693
AT,AT212_20320,678353
AT,AT312_41821,108989
AT,AT213_20802,40269
AT,AT314_41516,767384
AT,AT225_61020,231360
AT,AT313_41339,73932
AT,AT312_41805,735379
AT,AT124_31105,755045
AT,AT124_30903,87190
AT,AT121_32013,358218
AT,AT334_70613,131477
AT,AT224_60719,58189
AT,AT331_70825,8401
AT,AT315_40714,190913
AT,AT311_41424,147576
AT,AT225_60335,55552
AT,AT224_60729,82085
AT,AT223_61302,29191
AT,AT112_10721,81429
AT,AT335_70418,48666
AT,AT341_80232,74184
AT,AT311_40425,74367
AT,AT122_31411,1308098
AT,AT225_60306,8101
AT,AT127_31709,1671292
AT,AT111_10806,23083
AT,AT222_61230,26334
AT,AT213_20901,7480025
AT,AT321_50513,907627
AT,AT125_31658,36216
AT,AT311_40421,1616756
AT,AT225_60303,672394
AT,AT224_61714,106540
AT,AT211_20710,233997
AT,AT335_70506,233024
AT,AT224_61707,426919
AT,AT122_31808,180952
AT,AT224_60508,192154
AT,AT211_20720,493742
AT,AT333_70706,54967
AT,AT342_80226,1225735
AT,AT225_60340,995408
AT,AT111_10816,128002
AT,AT224_60504,6257252
AT,AT124_32210,70662
AT,AT127_32407,48092
AT,AT225_60329,94631
AT,AT315_40702,401455
AT,AT311_40833,325660
AT,AT122_32306,1919935
AT,AT335_70936,506969
AT,AT226_60824,3022335
AT,AT332_70352,79194
AT,AT334_70605,131717
AT,AT335_70908,123293
AT,AT315_41739,406047
AT,AT225_60318,9496553
AT,AT226_61412,203836
AT,AT312_41609,202038
AT,AT311_41404,73304
AT,AT127_30728,43990
AT,AT311_40443,119066
AT,AT225_61603,19546
AT,AT124_31338,66463
AT,AT323_50313,49954
AT,AT113_10508,101751
AT,AT323_50201,1210628
AT,AT334_70623,64235
AT,AT315_41729,23341
AT,AT226_61411,219235
AT,AT221_60631,109921
AT,AT224_60432,26040
AT,AT224_61716,188628
AT,AT322_50425,51278
AT,AT221_60613,4393829
AT,AT127_31726,144860
AT,AT313_41307,17806
AT,AT334_70214,207019
AT,AT314_41517,156702
AT,AT313_41105,164124
AT,AT224_60437,47965
AT,AT211_20722,248142
AT,AT122_31818,2013416
AT,AT341_80221,60718
AT,AT224_60727,72270
AT,AT226_61406,35166
AT,AT112_10615,146183
AT,AT225_60334,94142
AT,AT226_61423,30091
AT,AT333_70735,112268
AT,AT311_40433,44054
AT,AT315_41721,473281
AT,AT334_70215,139752
AT,AT334_70204,62066
AT,AT223_60207,86351
AT,AT224_60451,54267
AT,AT121_32005,239280
AT,AT312_41014,259097
AT,AT331_70811,68867
AT,AT314_40916,16072
AT,AT225_61035,44429
AT,AT332_70369,524384
AT,AT332_70359,117664
AT,AT125_31001,40154
AT,AT341_80119,36388
AT,AT342_80212,26914
AT,AT126_30848,80052
AT,AT111_10807,82920
AT,AT311_41226,21667
AT,AT112_10315,123516
AT,AT211_20418,232275
AT,AT121_31516,65589
AT,AT314_41518,1105188
AT,AT125_30829,66673
AT,AT333_70726,49496
AT,AT112_10602,119405
AT,AT225_60323,180346
AT,AT125_31014,73354
AT,AT313_41102,73798
AT,AT226_61422,2085216
AT,AT124_31337,227331
AT,AT121_31507,138868
AT,AT113_10908,65832
AT,AT212_20634,403023
AT,AT342_80214,78099
AT,AT313_40602,88321
AT,AT225_61030,155139
AT,AT112_10701,103618
AT,AT315_40708,113329
AT,AT315_41710,419207
AT,AT313_40606,26972
AT,AT111_10811,76872
AT,AT332_70341,104984
AT,AT213_20518,130481
AT,AT113_10501,73252
AT,AT125_30845,74570
AT,AT311_41420,99215
AT,AT313_41324,38179
AT,AT224_61503,22585
AT,AT123_31903,464481
AT,AT341_80206,87382
AT,AT112_10719,58349
AT,AT223_61312,89887
AT,AT224_61513,1929484
AT,AT341_80128,146020
AT,AT224_61721,109284
AT,AT121_31517,145400
AT,AT125_31653,88741
AT,AT223_61106,166212
AT,AT121_31546,77860
AT,AT226_61429,33000
AT,AT224_61704,90723
AT,AT124_32219,418314
AT,AT341_80129,238384
AT,AT112_10318,61242
AT,AT223_61107,410553
AT,AT322_50628,1370993
AT,AT315_41711,725547
AT,AT315_40709,59896
AT,AT223_60202,1094981
AT,AT334_70627,343845
AT,AT334_70216,120557
AT,AT123_31920,31489
AT,AT122_31410,185229
AT,AT311_40828,64363
AT,AT224_61506,119598
AT,AT121_30516,135563
AT,AT223_61316,380057
AT,AT311_40401,1119176
AT,AT312_41810,145047
AT,AT122_32314,160763
AT,AT322_50625,31035
AT,AT124_32519,52970
AT,AT312_41621,43826
AT,AT335_70416,5150681
AT,AT127_32410,645616
AT,AT224_61715,73041
AT,AT323_50331,40535
AT,AT126_30842,114995
AT,AT226_60908,772339
AT,AT312_41611,89998
AT,AT224_61746,664031
AT,AT122_32312,59428
AT,AT211_20416,104275
AT,AT126_32421,287072
AT,AT312_40504,121521
AT,AT213_20808,1574029
AT,AT313_40610,47769
AT,AT121_32012,71316
AT,AT112_10608,44901
AT,AT222_61251,37035
AT,AT113_10421,14054
AT,AT124_30908,6016272
AT,AT226_60822,103540
AT,AT126_32109,56898
AT,AT224_60444,16396
AT,AT312_41016,110933
AT,AT126_30860,111177
AT,AT341_80211,270969
AT,AT335_70419,141454
AT,AT311_41236,30143
AT,AT211_20442,163135
AT,AT113_10409,43223
AT,AT212_20636,109573
AT,AT212_20316,91887
AT,AT334_70206,41746
AT,AT224_60704,38578
AT,AT127_30724,145300
AT,AT211_20702,3525837
AT,AT224_60708,114255
AT,AT322_50401,584260
AT,AT121_31540,103538
AT,AT335_70523,31454
AT,AT313_41619,44797
AT,AT122_32320,116033
AT,AT122_32313,188541
AT,AT322_50408,1996623
AT,AT124_31311,242206
AT,AT122_31820,33664
AT,AT313_41312,253126
AT,AT312_41015,94112
AT,AT226_60910,40143
AT,AT341_80106,327552
AT,AT313_40601,1411889
AT,AT123_31938,56820
AT,AT111_10814,443616
AT,AT122_32336,106098
AT,AT314_40918,232898
AT,AT341_80120,819335
AT,AT311_40804,48929
AT,AT224_60450,60049
AT,AT212_21001,60915
AT,AT225_60328,47221
AT,AT221_60101,141355151
AT,AT314_41501,102460
AT,AT224_60430,43079
AT,AT225_61625,1227636
AT,AT321_50510,605707
AT,AT315_41702,72849
AT,AT311_41426,142513
AT,AT311_41430,95995
AT,AT312_41819,88971
AT,AT121_31505,155630
AT,AT127_32401,314944
AT,AT124_32221,55706
AT,AT323_50206,39868
AT,AT126_32101,106627
AT,AT314_40909,211775
AT,AT311_40414,136789
AT,AT126_31215,78264
AT,AT124_32511,19550
AT,AT332_70327,1836
AT,AT335_70413,287319
AT,AT313_41313,75345
AT,AT124_31301,38931
AT,AT111_10803,47742
AT,AT315_40718,396233
AT,AT311_40408,51782
AT,AT122_31843,451706
AT,AT113_10426,13756
AT,AT323_50212,468822
AT,AT311_40409,62031
AT,AT123_31927,112598
AT,AT332_70328,198363
AT,AT322_50413,44555
AT,AT121_31521,941498
AT,AT323_50303,585031
AT,AT213_20804,296755
AT,AT122_32327,575793
AT,AT323_50318,26586
AT,AT225_61042,10802
AT,AT123_30201,47741987
AT,AT223_60204,4710994
AT,AT321_50504,479654
AT,AT221_60623,564966
AT,AT341_80202,258725
AT,AT335_70524,80060
AT,AT315_41736,95831
AT,AT121_31527,603215
AT,AT212_20640,71819
AT,AT323_50209,464612
AT,AT225_61607,44815
AT,AT121_30515,218920
AT,AT226_60909,50537
AT,AT126_31214,653091
AT,AT113_10912,103709
AT,AT124_31347,48256
AT,AT313_40604,4340948
AT,AT221_60610,1252155
AT,AT124_32518,81674
AT,AT223_61114,427607
AT,AT333_70718,56335
AT,AT124_31309,158735
AT,AT125_30827,214823
AT,AT312_41809,29142
AT,AT226_61417,60664
AT,AT312_41808,2607036
AT,AT127_31711,113521
AT,AT311_40426,296169
AT,AT221_60628,256935
AT,AT126_30865,53645
AT,AT121_31522,777244
AT,AT313_41625,87018
AT,AT315_41733,3309
AT,AT226_61431,28721
AT,AT224_61747,656916
AT,AT121_30503,203218
AT,AT332_70334,342446
AT,AT122_30605,1774420
AT,AT112_10308,63512
AT,AT113_10415,65245
AT,AT224_60448,122434
AT,AT312_41812,699744
AT,AT124_31323,95462
AT,AT127_30633,5404086
AT,AT311_40434,172833
AT,AT331_70806,240675
AT,AT222_61227,59296
AT,AT323_50328,29482
AT,AT226_60815,32984
AT,AT221_60651,176661
AT,AT225_61021,7236306
AT,AT222_61211,37356
AT,AT226_61408,47001
AT,AT225_61611,164361
AT,AT331_70835,42007
AT,AT313_41301,19579
AT,AT127_30711,93567
AT,AT334_70222,164544
AT,AT125_31604,101430
AT,AT332_70323,31563
AT,AT123_31943,1186415
AT,AT225_60339,84229
AT,AT126_31227,118103
AT,AT113_10408,83666
AT,AT331_70807,163588
AT,AT332_70350,52790
AT,AT224_61709,500374
AT,AT313_41325,102954
AT,AT224_60710,1333308
AT,AT213_20918,374286
AT,AT122_31825,481165
AT,AT225_60314,31377
AT,AT225_61023,58056
AT,AT311_41405,299830
AT,AT122_31847,96993
AT,AT121_31503,191390
AT,AT224_61751,257797
AT,AT225_60311,20511
AT,AT224_61514,802936
AT,AT315_41749,66578
AT,AT312_40505,57106
AT,AT125_31654,144937
AT,AT124_31101,48297
AT,AT312_41612,111804
AT,AT224_61718,479317
AT,AT315_41713,1710170
AT,AT224_60431,49163
AT,AT122_32330,233858
AT,AT125_30810,66985
AT,AT112_10316,77894
AT,AT315_41746,3170129
AT,AT122_31804,130585
AT,AT226_60814,258399
AT,AT223_61115,128639
AT,AT313_40622,132063
AT,AT311_41429,63430
AT,AT125_31033,58623
AT,AT334_70606,449473
AT,AT112_10723,46081
AT,AT322_50424,341283
AT,AT322_50613,1540604
AT,AT225_61003,39221
AT,AT126_30854,270696
AT,AT312_41011,166197
AT,AT124_30942,386996
AT,AT125_31650,99669
AT,AT223_61113,373015
AT,AT125_30850,79337
AT,AT226_60806,5870460
AT,AT342_80412,345326
AT,AT224_60405,33113
AT,AT323_50309,159962
AT,AT224_61515,112906
AT,AT126_31206,534879
AT,AT113_10904,51362
AT,AT112_10714,63673
AT,AT127_30625,52867
AT,AT332_70366,39076
AT,AT124_32502,109963
AT,AT112_10321,36626
AT,AT224_61755,6531347
AT,AT311_41215,459412
AT,AT311_40802,1076806
AT,AT212_20638,526746
AT,AT122_31830,18260
AT,AT126_30835,164772
AT,AT333_70734,148525
AT,AT332_70329,784526
AT,AT211_20414,190400
AT,AT313_41622,75786
AT,AT226_60803,127532
AT,AT113_10921,4442193
AT,AT121_30522,870959
AT,AT123_31935,154808
AT,AT113_10911,47869
AT,AT122_31823,4925076
AT,AT125_31617,116000
AT,AT222_61249,1061272
AT,AT212_20603,67824
AT,AT341_80102,19091
AT,AT223_61105,78212
AT,AT122_31811,183659
AT,AT224_61728,47965
AT,AT123_31923,62833
AT,AT226_60818,60632
AT,AT225_61001,150625
AT,AT113_10926,36328
AT,AT335_70515,1180623
AT,AT225_61018,1091267
AT,AT225_61011,263055
AT,AT315_41730,86707
AT,AT224_61739,26297
AT,AT335_70405,219954
AT,AT112_10604,47529
AT,AT334_70626,91290
AT,AT122_31810,423039
AT,AT211_20723,91784
AT,AT222_61220,33051
AT,AT226_61430,807424
AT,AT127_30722,66108
AT,AT323_50339,800308
AT,AT314_40919,44370
AT,AT224_61754,197795
AT,AT224_60417,497664
AT,AT315_41734,292508
AT,AT127_31715,196414
AT,AT212_20620,196461
AT,AT335_70909,398775
AT,AT331_70819,5145
AT,AT212_20632,3301370
AT,AT213_20513,114505
AT,AT311_41428,2155847
AT,AT211_20432,124058
AT,AT313_40618,125840
AT,AT121_30541,4689875
AT,AT224_61705,179148
AT,AT222_61234,48457
AT,AT211_20201,28541448
AT,AT212_20624,57264
AT,AT125_31021,75948
AT,AT127_30637,171459
AT,AT332_70308,73528
AT,AT311_40831,1224252
AT,AT331_70812,4168
AT,AT222_61212,12859
AT,AT334_70629,45849
AT,AT224_60501,74391
AT,AT334_70622,115754
AT,AT212_20607,75887
AT,AT335_70508,421204
AT,AT226_61432,116557
AT,AT126_31216,1901141
AT,AT313_41337,63459
AT,AT313_40608,871194
AT,AT323_50326,2249776
AT,AT342_80207,8485580
AT,AT322_50414,67557
AT,AT315_41728,24927
AT,AT124_31303,69154
AT,AT113_10403,47188
AT,AT112_10705,133006
AT,AT341_80237,27416
AT,AT224_61720,105775
AT,AT323_50322,186372
AT,AT127_31707,257613
AT,AT224_60412,55498
AT,AT222_61205,1557599
AT,AT213_20806,95312
AT,AT315_40713,4809085
AT,AT113_10903,47018
AT,AT224_60750,26297
AT,AT224_60709,37807
AT,AT122_31840,2083763
AT,AT314_41503,229027
AT,AT222_61236,373256
AT,AT212_20302,195928
AT,AT225_60312,508191
AT,AT322_50419,69294
AT,AT125_31018,97169
AT,AT334_70611,46721
AT,AT313_41334,106953
AT,AT124_31350,78307
AT,AT322_50603,49712
AT,AT335_70938,148945
AT,AT313_41111,414310
AT,AT126_32415,356593
AT,AT112_10707,158149
AT,AT342_80231,74641
AT,AT323_50210,260264
AT,AT223_60214,15817
AT,AT342_80220,199570
AT,AT315_41727,53527
AT,AT313_41322,226930
AT,AT122_31833,28202
AT,AT122_32301,183164
AT,AT335_70528,106222
AT,AT223_61109,138761
AT,AT224_60453,55102
AT,AT311_40815,62081
AT,AT331_70810,25616
AT,AT122_30615,488553
AT,AT226_60802,19996
AT,AT122_31803,160105
AT,AT124_31351,83559
AT,AT333_70703,27679
AT,AT342_80420,339284
AT,AT335_70514,817842
AT,AT313_41315,76839
AT,AT311_41421,57267
AT,AT311_40825,2078121
AT,AT221_60615,21347
AT,AT213_20530,268082
AT,AT335_70916,157490
AT,AT224_61505,101656
AT,AT224_60717,181173
AT,AT323_50304,70092
AT,AT313_41304,139046
AT,AT313_41117,42981
AT,AT125_30826,64802
AT,AT123_31941,41615
AT,AT113_10401,40374
AT,AT224_60434,29769
AT,AT313_41122,39113
AT,AT226_61407,23404
AT,AT113_10424,14821
AT,AT313_40624,221086
AT,AT225_61609,1261462
AT,AT221_60637,87313
AT,AT212_21003,158446
AT,AT335_70925,114720
AT,AT335_70521,1307
AT,AT311_40826,22117
AT,AT312_41807,54388
AT,AT224_60738,88706
AT,AT124_30904,20823
AT,AT341_80104,147904
AT,AT224_60449,268060
AT,AT333_70707,128569
AT,AT311_40411,32179
AT,AT342_80411,53177
AT,AT314_40906,56942
AT,AT124_32515,99346
AT,AT122_31414,119286
AT,AT123_31929,464113
AT,AT221_60635,1096307
AT,AT121_30521,131772
AT,AT112_10709,111592
AT,AT224_60718,23601
AT,AT212_20306,160237
AT,AT311_40445,23613
AT,AT224_60456,263605
AT,AT212_20637,137163
AT,AT124_31109,933596
AT,AT333_70733,16217
AT,AT335_70527,195919
AT,AT331_70803,58420
AT,AT315_41701,177326
AT,AT122_31835,454535
AT,AT223_60217,208597
AT,AT315_41735,581483
AT,AT314_40920,84986
AT,AT111_10820,43057
AT,AT341_80105,1290991
AT,AT315_40717,930522
AT,AT226_60817,10609
AT,AT121_31539,278613
AT,AT313_41340,30058
AT,AT335_70913,24290
AT,AT342_80416,495111
AT,AT342_80213,350745
AT,AT341_80233,87897
AT,AT341_80127,58461
AT,AT226_61415,49124
AT,AT334_70602,17259
AT,AT125_31616,78540
AT,AT335_70512,814552
AT,AT224_61727,170823
AT,AT224_61703,33241
AT,AT211_20424,792177
AT,AT121_30529,164144
AT,AT112_10702,76957
AT,AT322_50417,442295
AT,AT212_20618,51536
AT,AT342_80229,36962
AT,AT332_70360,89145
AT,AT127_31704,1062197
AT,AT113_10413,43227
AT,AT213_20913,2824040
AT,AT224_61750,666070
AT,AT124_31322,2844289
AT,AT312_41817,140955
AT,AT311_40413,663671
AT,AT334_70610,36341
AT,AT312_40511,87970
AT,AT223_61111,146268
AT,AT315_40704,2674471
AT,AT112_10715,44292
AT,AT323_50315,132791
AT,AT122_32333,49250
AT,AT342_80208,40048
AT,AT224_60743,171657
AT,AT113_10927,56983
AT,AT314_40914,28508
AT,AT226_60905,82159
AT,AT122_31841,30585
AT,AT333_70711,37823
AT,AT335_70930,68538
AT,AT211_20721,109689
AT,AT224_60746,54762
AT,AT341_80118,67464
AT,AT224_60404,151613
AT,AT332_70351,254191
AT,AT224_61734,181539
AT,AT213_20523,1855885
AT,AT311_40441,220880
AT,AT312_41607,945219
AT,AT312_41017,423135
AT,AT332_70348,85123
AT,AT121_31530,182556
AT,AT113_10913,33304
AT,AT224_60506,137429
AT,AT121_30511,152308
AT,AT224_60406,52436
AT,AT223_61104,54652
AT,AT126_30844,150087
AT,AT126_30803,231038
AT,AT224_60745,196809
AT,AT313_40613,43826
AT,AT126_32107,309900
AT,AT226_60913,98974
AT,AT224_60725,33820
AT,AT334_70224,159511
AT,AT111_10815,63159
AT,AT225_60307,172751
AT,AT311_41232,208770
AT,AT124_32501,153057
AT,AT224_60702,84858
AT,AT123_31910,111626
AT,AT312_41003,397697
AT,AT224_60408,24341
AT,AT127_30639,1327769
AT,AT224_61701,5001101
AT,AT126_32423,76623
AT,AT313_40612,148602
AT,AT122_30645,80744
AT,AT126_30814,108730
AT,AT126_31207,228249
AT,AT334_70219,184591
AT,AT221_60652,3612758
AT,AT323_50207,1322468
AT,AT113_10404,47084
AT,AT314_40904,502161
AT,AT126_30801,23642
AT,AT124_32520,60272
AT,AT112_10311,54982
AT,AT342_80423,153249
AT,AT225_61008,586194
AT,AT335_70914,55032
AT,AT335_70504,101523
AT,AT312_41814,49626
AT,AT211_20703,82550
AT,AT111_10810,40246
AT,AT126_32140,223805
AT,AT331_70822,33931
AT,AT313_41109,582607
AT,AT224_60707,237665
AT,AT226_61414,76351
AT,AT222_61225,69483
AT,AT313_41116,1375266
AT,AT224_60705,1629210
AT,AT315_41715,551064
AT,AT314_40922,179073
AT,AT112_10610,88072
AT,AT226_61404,40186
AT,AT314_40921,43940
AT,AT122_31806,27080
AT,AT211_20428,59912
AT,AT342_80222,107812
AT,AT321_50502,26699
AT,AT221_60626,231008
AT,AT313_41126,40835
AT,AT222_61243,115843
AT,AT213_20519,106570
AT,AT122_32334,1321303
AT,AT226_61420,40250
AT,AT331_70821,107909
AT,AT127_30613,117356
AT,AT342_80418,258172
